date,order,type,vo,text,accent,head,to,total,caption,value,suffix,label,source,title,lines,sub,keyword,company,location,pay,time,photo,captions
2026-08-29,5,prompt,"So make it work. This gives you five options, keyword-rich, without the buzzword soup.",,,,,,,,,,,PROMPT 12 — THE HEADLINE OPTIMIZER,"Write 5 LinkedIn headline options for a
[ROLE] with [X] years of experience in
[MAIN SKILLS]. They should be keyword-rich
for recruiter search, under 220 characters,
and not sound like desperate buzzword soup.
Mix a few styles: straightforward,
value-focused, and one with a bit of
personality.",,,,,,,,
2026-08-29,6,cta,Four more like it in the free pack. Comment the word pack and I'll send it.,FREE PROMPT PACK,,,,,,,,,,,,,PACK,,,,,,
2026-08-30,1,hook,The recruiter already told you the interview questions.,THE RECRUITER ALREADY TOLD YOU THE INTERVIEW QUESTIONS.,ALREADY,,,,,,,,,,,,,,,,,,
2026-08-30,2,hook,It's called the job description.,IT'S CALLED THE JOB DESCRIPTION.,DESCRIPTION,,,,,,,,,,,,,,,,,,
2026-08-30,3,rejection,"Skip that list, and this is the email that comes back. Four twelve in the morning. Nobody was awake when it sent.",,,,,,,,,,,,,,,Northwind,,,Tue 4:12 AM,,
2026-08-30,4,test,Go back to the posting and read the requirements section again. Every single line in there is something a human has to check in the room.,READ THE REQUIREMENTS SECTION AGAIN,,30-SECOND TEST,,,,,,EVERY BULLET IS A QUESTION THEY HAVE TO ASK,,,,,,,,,,,
2026-08-30,5,prompt,"This turns the posting into the actual question list, and tells you what each one is really testing.",,,,,,,,,,,PROMPT 16 — THE LIKELY-QUESTIONS GENERATOR,"You are the hiring manager for this role.
Based on the job description below, generate
the 12 most likely interview questions,
grouped into: behavioral, technical/role-
specific, and ""tell me about yourself"" style.
For each, add one line on what the
interviewer is really trying to learn.

JOB DESCRIPTION: [PASTE]",,,,,,,,
2026-08-30,6,cta,Four more like it in the free pack. Comment the word pack and I'll send it.,FREE PROMPT PACK,,,,,,,,,,,,,PACK,,,,,,
2026-08-31,1,hook,One referral skips the whole pile.,ONE REFERRAL SKIPS THE WHOLE PILE.,SKIPS,,,,,,,,,,,,,,,,,,
2026-08-31,2,rejection,"Every one of those applications gets this back. Same template, same hour, same nobody.",,,,,,,,,,,,,,,Northwind,,,Fri 4:12 AM,,
2026-08-31,3,stat,The average opening takes more than three hundred applications to fill one seat. You are not competing for attention. You are queuing for it.,,,,,,,300,+,applications per hire at the average company,"Jobscan, via ApplyMate",,,,,,,,,,
2026-08-31,4,rank,"A referral doesn't rank higher in that queue. It goes around it. Someone inside the company hands your name to the recruiter, and you skip the sort entirely.",,,,340,400,applicants,,,,,,,,,,,,,,
2026-08-31,5,prompt,"The hard part isn't knowing that. It's asking without it being weird. This makes it easy for them to say no, which is exactly why they say yes.",,,,,,,,,,,PROMPT 9 — THE REFERRAL ASK,"Help me write a short, no-pressure message
asking [NAME], who works at [COMPANY], for a
referral to their [ROLE] opening. We [HOW WE
KNOW EACH OTHER]. Make it easy for them to
say no, attach value (offer to send my resume
so it's zero effort for them), and keep it
under 5 sentences. Friendly, not
transactional.",,,,,,,,
2026-08-31,6,cta,Four more like it in the free pack. Comment the word pack and I'll send it.,FREE PROMPT PACK,,,,,,,,,,,,,PACK,,,,,,
2026-09-01,1,hook,You have the story. You just don't have it in the shape they score.,YOU HAVE THE STORY. NOT IN THE SHAPE THEY SCORE.,SHAPE,,,,,,,,,,,,,,,,,,
2026-09-01,2,rejection,"Miss the shape, and this is what lands the next morning. Same wording every company uses.",,,,,,,,,,,,,,,Northwind,,,Wed 4:12 AM,,
2026-09-01,3,test,"Try it right now. Say your best work story out loud and time it. If you went past ninety seconds, they stopped listening somewhere in the middle.",SAY YOUR BEST WORK STORY OUT LOUD. TIME IT.,,90-SECOND TEST,,,,,,PAST 90 SECONDS? THEY STOPPED LISTENING,,,,,,,,,,,
2026-09-01,4,hook,"Situation, task, action, result. Under ninety seconds, with a number at the end. That's the behavioral rubric they're scoring against.",SITUATION. TASK. ACTION. RESULT.,RESULT,,,,,,,,,,,,,,,,,,
2026-09-01,5,prompt,"This builds it from the messy version, and if there's no real result it asks you a question instead of inventing one.",,,,,,,,,,,PROMPT 17 — THE STAR STORY BUILDER,"Help me build a STAR-method answer
(Situation, Task, Action, Result) from the
rough story below. Keep it under 90 seconds
spoken. Make the Result concrete. If I'm
missing a clear result, ask me one question
to draw it out rather than inventing one.

THE ROUGH STORY: [PASTE what happened]
THE QUESTION IT ANSWERS: [PASTE]",,,,,,,,
2026-09-01,6,cta,Four more like it in the free pack. Comment the word pack and I'll send it.,FREE PROMPT PACK,,,,,,,,,,,,,PACK,,,,,,
